index,text,duration
0,"from __future__ import annotations\n",0.006794
1,"\n",0.000736458
2,"import abc\n",0.006504667
3,"import logging\n",0.011562958
4,"from collections import defaultdict\n",0.00643775
5,"from dataclasses import dataclass\n",0.006524292
6,"from enum import Enum, auto\n",0.0061335
7,"from io import StringIO\n",0.007725
8,"from typing import Self, Iterable, Callable, Any\n",0.00660225
9,"\n",0.000582958
10,"import itertools\n",0.005142709
11,"from tqdm import tqdm\n",0.00774975
12,"\n",0.000519666
13,"\n",0.000904625
14,"class Node(abc.ABC):\n",0.005029958
15,"    @abc.abstractmethod\n",0.005418125
16,"    def decompose_on_left_recursion(self, ref: Ref) -> tuple[Node, Node]:\n",0.013044041
17,"        raise NotImplementedError\n",0.019183959
18,"\n",0.002457417
19,"    @abc.abstractmethod\n",0.0127865
20,"    def replace_left_refs(self, replacements: dict[Ref, Node]) -> Node:\n",0.021611
21,"        raise NotImplementedError\n",0.014937209
22,"\n",0.002102
23,"    @abc.abstractmethod\n",0.010528875
24,"    def simplify(self) -> Node:\n",0.005207167
25,"        raise NotImplementedError\n",0.012724541
26,"\n",0.001658917
27,"\n",0.003087584
28,"class RuleType(Enum):\n",0.016173958
29,"    LEFT_RECURSIVE = auto()\n",0.018153083
30,"    NULLABLE = auto()\n",0.012031083
31,"    NORMAL = auto()\n",0.012181958
32,"\n",0.005267542
33,"\n",0.001714667
34,"def is_nullable(node: Node, nullable_rules: set[Ref]) -> bool:\n",0.047014875
35,"    match node:\n",0.008805375
36,"        case Ref(_):\n",0.002712792
37,"            return node in nullable_rules\n",0.025069375
38,"        case Term(_):\n",0.012637292
39,"            return False\n",0.015248916
40,"        case EpsExternal(_):\n",0.021873083
41,"            return True\n",0.009532917
42,"        case Lookahead(child):\n",0.014251375
43,"            return True\n",0.009857959
44,"        case Seq(children):\n",0.012762459
45,"            return all(is_nullable(child, nullable_rules) for child in children)\n",0.027708041
46,"        case Choice(children):\n",0.011103417
47,"            return any(is_nullable(child, nullable_rules) for child in children)\n",0.027916041
48,"        case Repeat1(child):\n",0.010042333
49,"            return is_nullable(child, nullable_rules)\n",0.029063584
50,"        case _:\n",0.007021583
51,"            raise ValueError(f""Unknown node type: {type(node)}"")\n",0.016613958
52,"\n",0.001697959
53,"\n",0.001846166
54,"def is_null(node: Node, null_rules: set[Ref]) -> bool:\n",0.049675541
55,"    match node:\n",0.008632
56,"        case Ref(_):\n",0.00652675
57,"            return node in null_rules\n",0.018429125
58,"        case Term(_):\n",0.012625958
59,"            return False\n",0.01242875
60,"        case EpsExternal(_):\n",0.017943042
61,"            return True\n",0.011535167
62,"        case Lookahead(child):\n",0.012314667
63,"            return True\n",0.01153175
64,"        case Seq(children):\n",0.011130583
65,"            return all(is_null(child, null_rules) for child in children)\n",0.027942917
66,"        case Choice(children):\n",0.013371833
67,"            return all(is_null(child, null_rules) for child in children)\n",0.034866042
68,"        case Repeat1(child):\n",0.011212042
69,"            return is_null(child, null_rules)\n",0.024338917
70,"        case _:\n",0.007267125
71,"            raise ValueError(f""Unknown node type: {type(node)}"")\n",0.020048417
72,"\n",0.002890208
73,"\n",0.002452291
74,"def update_dict(original: dict, updates: dict) -> bool:\n",0.057620125
75,"    common_keys = set(original.keys()) & set(updates.keys())\n",0.028865958
76,"    updated = False\n",0.008822625
77,"    for key in common_keys:\n",0.009145333
78,"        if original[key] != updates[key]:\n",0.018400917
79,"            updated = True\n",0.012446875
80,"    original.update(updates)\n",0.057880458
81,"    return updated\n",0.007802584
82,"\n",0.001263791
83,"\n",0.001349625
84,"def update_set(original: set, updates: set) -> bool:\n",0.026235166
85,"    initial_len = len(original)\n",0.017481916
86,"    original.update(updates)\n",0.019662542
87,"    return len(original) != initial_len\n",0.0147605
88,"\n",0.00121675
89,"\n",0.001143
90,"def add_to_set(s: set, element) -> bool:\n",0.017753417
91,"    if element not in s:\n",0.007596958
92,"        s.add(element)\n",0.013060459
93,"        return True\n",0.009476167
94,"    return False\n",0.014777292
95,"\n",0.003338125
96,"\n",0.002606166
97,"def get_nullable_rules(rules: dict[Ref, Node]) -> set[Ref]:\n",0.032132959
98,"    # Assume all rules are nullable\n",0.004345292
99,"    nullable_rules = set(rules.keys())\n",0.018918083
100,"    # Keep trying until we can't find anymore\n",0.003984209
101,"    while True:\n",0.006097792
102,"        prev_len = len(nullable_rules)\n",0.018814291
103,"        for ref, node in rules.items():\n",0.013450708
104,"            if not is_nullable(node, nullable_rules):\n",0.021293583
105,"                nullable_rules -= {ref}\n",0.020391875
106,"        if len(nullable_rules) == prev_len:\n",0.044478125
107,"            break\n",0.009732916
108,"    return nullable_rules\n",0.026181875
109,"\n",0.001365958
110,"\n",0.001478541
111,"def get_null_rules(rules: dict[Ref, Node]) -> set[Ref]:\n",0.025472667
112,"    # Assume all rules are null\n",0.005644417
113,"    null_rules = set(rules.keys())\n",0.018179834
114,"    # Keep trying until we can't find anymore\n",0.006926625
115,"    while True:\n",0.007139625
116,"        prev_len = len(null_rules)\n",0.020328292
117,"        for ref, node in rules.items():\n",0.0164435
118,"            if not is_null(node, null_rules):\n",0.021162417
119,"                null_rules -= {ref}\n",0.018232666
120,"        if len(null_rules) == prev_len:\n",0.038559667
121,"            break\n",0.009590875
122,"    return null_rules\n",0.021695584
123,"\n",0.001168125
124,"\n",0.001325458
125,"def get_firsts(node: Node, nullable_rules: set[Ref]) -> set[Ref | Term | EpsExternal]:\n",0.044876458
126,"    if isinstance(node, Term):\n",0.020403792
127,"        return {node}\n",0.01298125
128,"    elif isinstance(node, Ref):\n",0.029527083
129,"        return {node}\n",0.011613833
130,"    elif isinstance(node, EpsExternal):\n",0.033309542
131,"        return {node}\n",0.011856208
132,"    elif isinstance(node, Lookahead):\n",0.033579333
133,"        return set()\n",0.010123
134,"    elif isinstance(node, Seq):\n",0.027048917
135,"        result = set()\n",0.011659625
136,"        for child in node.children:\n",0.013987709
137,"            result.update(get_firsts(child, nullable_rules))\n",0.03516825
138,"            if not is_nullable(child, nullable_rules):\n",0.025631458
139,"                break\n",0.010084458
140,"        return result\n",0.023817708
141,"    elif isinstance(node, Choice):\n",0.029901791
142,"        result = set()\n",0.011597125
143,"        for child in node.children:\n",0.013306958
144,"            result.update(get_firsts(child, nullable_rules))\n",0.036774084
145,"        return result\n",0.016460375
146,"    elif isinstance(node, Repeat1):\n",0.031458875
147,"        return get_firsts(node.child, nullable_rules)\n",0.023025083
148,"    else:\n",0.007520291
149,"        raise ValueError(f""Unknown node type: {type(node)}"")\n",0.024568542
150,"\n",0.002686959
151,"\n",0.0027135
152,"def first_refs(node: Node, nullable_rules: set[Ref]) -> set[Ref]:\n",0.090664333
153,"    return {ref for ref in get_firsts(node, nullable_rules) if isinstance(ref, Ref)}\n",0.027592209
154,"\n",0.001135209
155,"\n",0.000958167
156,"def is_left_recursive(node: Node, rules: dict[Ref, Node], seen: set[Ref] = None) -> bool:\n",0.040373334
157,"    if seen is None:\n",0.005696084
158,"        seen = set()\n",0.008200917
159,"    firsts = first_refs(node, seen)\n",0.025724792
160,"    for ref in firsts:\n",0.006536167
161,"        if ref in seen:\n",0.006651958
162,"            return True\n",0.009563292
163,"        if ref not in rules:\n",0.013286708
164,"            # If it's all capitalized, assume it's a token\n",0.003018375
165,"            if ref.name[0].isupper():\n",0.008783208
166,"                return True\n",0.01017375
167,"            raise ValueError(f""Unknown rule: {ref}"")\n",0.027303
168,"        if is_left_recursive(rules[ref], rules, seen | {ref}):\n",0.050734583
169,"            return True\n",0.010149333
170,"    return False\n",0.018428333
171,"\n",0.001009916
172,"\n",0.001053875
173,"def infer_rule_types(rules: dict[Ref, Node]) -> dict[Ref, RuleType]:\n",0.035534667
174,"    nullable_rules = get_nullable_rules(rules)\n",0.021021708
175,"    rule_types = {}\n",0.01026825
176,"    for ref, node in rules.items():\n",0.011597667
177,"        if ref in nullable_rules:\n",0.007712292
